"gps_data_id","sensor_code","utc_date","utc_time","line_no","tff","latitude","longitude","height","maxsnr","hdop","vdop","sat","fix","v1","v2","t1","t2","h1","h2","s1","s2","s3","s4","insert_timestamp","acquisition_time"
18233,"CJ11","2019-01-22","05:02:30",291,90,"26.0698638888889","-80.2795166666667","-30",33,"4","4.3",4,"3D","3.43V",NULL,"25.42",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2019-03-04 15:50:16.083377-05","2019-01-22 00:02:30-05"
18234,"CJ11","2019-01-22","06:02:10",292,70,"26.0703472222222","-80.2785055555556","-8",34,"2.3","3.9",5,"3D","3.47V",NULL,"26.47",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2019-03-04 15:50:16.083377-05","2019-01-22 01:02:10-05"
18235,"CJ11","2019-01-22","07:02:08",293,68,"26.0737305555556","-80.2788861111111","-5",35,"3.5","3.1",4,"3D","3.49V",NULL,"23.6",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2019-03-04 15:50:16.083377-05","2019-01-22 02:02:08-05"
18236,"CJ11","2019-01-22","08:02:30",294,90,"26.0735333333333","-80.2793361111111","1",36,"2.9","2.3",4,"3D","3.50V",NULL,"24.84",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2019-03-04 15:50:16.083377-05","2019-01-22 03:02:30-05"
18237,"CJ11","2019-01-22","17:02:30",295,90,"0","0","0",32,"0","0",7,"NO","3.39V",NULL,"37.55",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2019-03-04 15:50:16.083377-05","2019-01-22 12:02:30-05"
18238,"CJ11","2019-01-22","18:02:30",296,90,"0","0","0",36,"0","0",5,"NO","3.47V",NULL,"35.46",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2019-03-04 15:50:16.083377-05","2019-01-22 13:02:30-05"
18239,"CJ11","2019-01-22","19:02:07",297,67,"26.0714361111111","-80.2789888888889","7",35,"3.1","3.2",3,"2D","3.49V",NULL,"25.23",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2019-03-04 15:50:16.083377-05","2019-01-22 14:02:07-05"
18240,"CJ11","2019-01-22","20:02:30",298,90,"26.0718611111111","-80.2775138888889","7",36,"7.3","3.2",3,"2D","3.47V",NULL,"24.77",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2019-03-04 15:50:16.083377-05","2019-01-22 15:02:30-05"
18241,"CJ11","2019-01-22","21:02:30",299,90,"26.0717527777778","-80.2789222222222","-14",41,"2.8","6.2",5,"3D","3.47V",NULL,"25.49",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2019-03-04 15:50:16.083377-05","2019-01-22 16:02:30-05"
18242,"CJ11","2019-01-22","22:02:05",300,65,"26.0742055555556","-80.2780638888889","1",37,"4.2","3.5",5,"3D","3.47V",NULL,"23.92",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2019-03-04 15:50:16.083377-05","2019-01-22 17:02:05-05"
18243,"CJ11","2019-01-22","23:02:05",301,65,"26.0738472222222","-80.2790361111111","-2",42,"2","3.4",7,"3D","3.47V",NULL,"23.99",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2019-03-04 15:50:16.083377-05","2019-01-22 18:02:05-05"
18244,"CJ11","2019-01-23","00:02:26",302,86,"26.0756527777778","-80.2799861111111","7",36,"4.1","3.2",3,"2D","3.45V",NULL,"27.25",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2019-03-04 15:50:16.083377-05","2019-01-22 19:02:26-05"
18245,"CJ11","2019-01-23","01:02:06",303,66,"26.0740805555556","-80.2779111111111","64",34,"2.7","7",5,"3D","3.49V",NULL,"26.08",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2019-03-04 15:50:16.083377-05","2019-01-22 20:02:06-05"
18246,"CJ11","2019-01-23","02:02:10",304,70,"26.0713555555556","-80.2799194444444","8",34,"2.1","7.6",4,"3D","3.49V",NULL,"22.55",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2019-03-04 15:50:16.083377-05","2019-01-22 21:02:10-05"
18247,"CJ11","2019-01-23","03:02:30",305,90,"0","0","0",36,"0","0",7,"NO","3.43V",NULL,"28.36",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2019-03-04 15:50:16.083377-05","2019-01-22 22:02:30-05"
18248,"CJ11","2019-01-23","04:02:30",306,90,"0","0","0",43,"0","0",8,"NO","3.50V",NULL,"22.62",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2019-03-04 15:50:16.083377-05","2019-01-22 23:02:30-05"
18249,"CJ11","2019-01-23","05:02:10",307,70,"26.0703305555556","-80.2785777777778","12",39,"1.6","3.2",5,"3D","3.47V",NULL,"37.16",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2019-03-04 15:50:16.083377-05","2019-01-23 00:02:10-05"
18250,"CJ11","2019-01-23","06:02:04",308,64,"26.0697416666667","-80.2781722222222","8",40,"1.5","2.3",6,"3D","3.43V",NULL,"26.6",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2019-03-04 15:50:16.083377-05","2019-01-23 01:02:04-05"
18251,"CJ11","2019-01-23","07:02:10",309,70,"26.0698555555556","-80.2781611111111","2",37,"2","3",5,"3D","3.49V",NULL,"25.1",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2019-03-04 15:50:16.083377-05","2019-01-23 02:02:10-05"
18252,"CJ11","2019-01-23","08:02:12",310,72,"26.0702611111111","-80.2785472222222","11",33,"2.1","2.9",4,"3D","3.37V",NULL,"31.16",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2019-03-04 15:50:16.083377-05","2019-01-23 03:02:12-05"
18253,"CJ11","2019-01-23","17:02:30",311,90,"0","0","0",36,"0","0",11,"NO","3.43V",NULL,"38.27",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2019-03-04 15:50:16.083377-05","2019-01-23 12:02:30-05"
18254,"CJ11","2019-01-23","18:02:30",312,90,"0","0","0",40,"0","0",15,"NO","3.49V",NULL,"32.6",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2019-03-04 15:50:16.083377-05","2019-01-23 13:02:30-05"
18255,"CJ11","2019-01-23","19:02:30",313,90,"0","0","0",40,"0","0",9,"NO","3.45V",NULL,"26.27",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2019-03-04 15:50:16.083377-05","2019-01-23 14:02:30-05"
18256,"CJ11","2019-01-23","20:02:30",314,90,"0","0","0",42,"0","0",7,"NO","3.49V",NULL,"29.79",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2019-03-04 15:50:16.083377-05","2019-01-23 15:02:30-05"
18257,"CJ11","2019-01-23","21:02:04",315,64,"26.0702888888889","-80.2787444444444","25",43,"1.3","1.6",9,"3D","3.49V",NULL,"34.23",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2019-03-04 15:50:16.083377-05","2019-01-23 16:02:04-05"
18258,"CJ11","2019-01-23","22:02:05",316,65,"26.0721777777778","-80.2782083333333","0",41,"0.9","1.4",9,"3D","3.49V",NULL,"27.31",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2019-03-04 15:50:16.083377-05","2019-01-23 17:02:05-05"
18259,"CJ11","2019-01-23","23:02:11",317,71,"26.0756","-80.27975","6",40,"1.4","2",5,"3D","3.47V",NULL,"27.97",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2019-03-04 15:50:16.083377-05","2019-01-23 18:02:11-05"
18260,"CJ11","2019-01-24","00:02:04",318,64,"26.0712805555556","-80.2795805555556","11",34,"1.8","2.2",5,"3D","3.47V",NULL,"26.47",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2019-03-04 15:50:16.083377-05","2019-01-23 19:02:04-05"
18261,"CJ11","2019-01-24","01:02:30",319,90,"26.0701638888889","-80.2787611111111","10",26,"8","3.2",3,"2D","3.41V",NULL,"35.2",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2019-03-04 15:50:16.083377-05","2019-01-23 20:02:30-05"
18262,"CJ11","2019-01-24","02:02:30",320,90,"26.0704027777778","-80.2784527777778","19",36,"2.2","3",6,"3D","3.49V",NULL,"35.46",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2019-03-04 15:50:16.083377-05","2019-01-23 21:02:30-05"
18263,"CJ11","2019-01-24","03:02:06",321,66,"26.0707666666667","-80.2767944444444","-4",40,"1.4","2.7",6,"3D","3.47V",NULL,"25.16",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2019-03-04 15:50:16.083377-05","2019-01-23 22:02:06-05"
18264,"CJ11","2019-01-24","04:02:19",322,79,"26.0692638888889","-80.2768222222222","16",39,"3.2","6.3",4,"3D","3.43V",NULL,"28.81",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2019-03-04 15:50:16.083377-05","2019-01-23 23:02:19-05"
18265,"CJ11","2019-01-24","05:02:30",323,90,"0","0","0",43,"0","0",7,"NO","3.49V",NULL,"25.49",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2019-03-04 15:50:16.083377-05","2019-01-24 00:02:30-05"
18266,"CJ11","2019-01-24","06:02:30",324,90,"26.0757472222222","-80.281","877",32,"8.6","3.2",3,"2D","3.41V",NULL,"35.86",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2019-03-04 15:50:16.083377-05","2019-01-24 01:02:30-05"
18267,"CJ11","2019-01-24","07:02:30",325,90,"0","0","0",32,"0","0",1,"NO","3.39V",NULL,"37.16",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2019-03-04 15:50:16.083377-05","2019-01-24 02:02:30-05"
18268,"CJ11","2019-01-24","08:02:30",326,90,"26.0709222222222","-80.2785527777778","14",35,"2.1","2.6",4,"3D","3.39V",NULL,"37.88",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2019-03-04 15:50:16.083377-05","2019-01-24 03:02:30-05"
18269,"CJ11","2019-01-24","17:02:30",327,90,"0","0","0",38,"0","0",7,"NO","3.41V",NULL,"28.68",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2019-03-04 15:50:16.083377-05","2019-01-24 12:02:30-05"
18270,"CJ11","2019-01-24","18:02:30",328,90,"0","0","0",41,"0","0",9,"NO","3.49V",NULL,"31.49",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2019-03-04 15:50:16.083377-05","2019-01-24 13:02:30-05"
18271,"CJ11","2019-01-24","19:02:30",329,90,"0","0","0",35,"0","0",8,"NO","3.47V",NULL,"26.14",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2019-03-04 15:50:16.083377-05","2019-01-24 14:02:30-05"
